Symptoms,Disease
dischromic_patches skin_rash nodal_skin_eruptions itching,Fungal infection
chills shivering watering_from_eyes continuous_sneezing,Allergy
chest_pain vomiting cough stomach_pain ulcers_on_tongue acidity,GERD
nausea yellowing_of_eyes itching loss_of_appetite yellowish_skin abdominal_pain vomiting,Chronic cholestasis
itching spotting_ urination skin_rash stomach_pain burning_micturition,Drug Reaction
loss_of_appetite indigestion passage_of_gases abdominal_pain vomiting internal_itching,Peptic ulcer diseae
extra_marital_contacts patches_in_throat muscle_wasting high_fever,AIDS
lethargy obesity polyuria weight_loss excessive_hunger blurred_and_distorted_vision restlessness increased_appetite irregular_sugar_level fatigue,Diabetes 
sunken_eyes dehydration vomiting diarrhoea,Gastroenteritis
breathlessness mucoid_sputum high_fever cough family_history fatigue,Bronchial Asthma
chest_pain headache loss_of_balance lack_of_concentration dizziness,Hypertension 
headache depression excessive_hunger blurred_and_distorted_vision indigestion visual_disturbances stiff_neck irritability acidity,Migraine
weakness_in_limbs back_pain loss_of_balance neck_pain dizziness,Cervical spondylosis
headache altered_sensorium weakness_of_one_body_side vomiting,Paralysis (brain hemorrhage)
dark_urine high_fever itching weight_loss yellowish_skin abdominal_pain vomiting fatigue,Jaundice
nausea sweating high_fever diarrhoea headache chills muscle_pain vomiting,Malaria
malaise lethargy high_fever itching loss_of_appetite headache mild_fever skin_rash swelled_lymph_nodes red_spots_over_body fatigue,Chicken pox
nausea malaise high_fever loss_of_appetite headache back_pain chills joint_pain skin_rash muscle_pain red_spots_over_body pain_behind_the_eyes vomiting fatigue,Dengue
nausea high_fever constipation diarrhoea headache toxic_look_(typhos) chills belly_pain abdominal_pain vomiting fatigue,Typhoid
nausea dark_urine yellowing_of_eyes diarrhoea loss_of_appetite mild_fever joint_pain muscle_pain yellowish_skin abdominal_pain vomiting,hepatitis A
yellowing_of_eyes lethargy dark_urine malaise itching receiving_blood_transfusion receiving_unsterile_injections loss_of_appetite yellow_urine yellowish_skin abdominal_pain fatigue,Hepatitis B
nausea yellowing_of_eyes loss_of_appetite yellowish_skin family_history fatigue,Hepatitis C
nausea dark_urine yellowing_of_eyes loss_of_appetite joint_pain yellowish_skin abdominal_pain vomiting fatigue,Hepatitis D
nausea dark_urine yellowing_of_eyes high_fever coma acute_liver_failure loss_of_appetite joint_pain stomach_bleeding yellowish_skin abdominal_pain vomiting fatigue,Hepatitis E
distention_of_abdomen history_of_alcohol_consumption swelling_of_stomach fluid_overload yellowish_skin abdominal_pain vomiting,Alcoholic hepatitis
yellowing_of_eyes breathlessness malaise sweating high_fever chest_pain loss_of_appetite mild_fever weight_loss cough chills phlegm swelled_lymph_nodes blood_in_sputum vomiting fatigue,Tuberculosis
malaise high_fever chest_pain headache runny_nose sinus_pressure cough throat_irritation chills redness_of_eyes phlegm continuous_sneezing muscle_pain swelled_lymph_nodes loss_of_smell fatigue congestion,Common Cold
malaise breathlessness sweating high_fever chest_pain rusty_sputum cough chills phlegm fast_heart_rate fatigue,Pneumonia
constipation bloody_stool pain_during_bowel_movements irritation_in_anus pain_in_anal_region,Dimorphic hemmorhoids(piles)
breathlessness sweating vomiting chest_pain,Heart attack
obesity swollen_blood_vessels swollen_legs cramps prominent_veins_on_calf bruising fatigue,Varicose veins
enlarged_thyroid lethargy swollen_extremeties depression abnormal_menstruation mood_swings weight_gain puffy_face_and_eyes dizziness irritability cold_hands_and_feets fatigue brittle_nails,Hypothyroidism
muscle_weakness sweating diarrhoea weight_loss abnormal_menstruation mood_swings excessive_hunger restlessness irritability fast_heart_rate fatigue,Hyperthyroidism
nausea sweating palpitations headache excessive_hunger blurred_and_distorted_vision irritability drying_and_tingling_lips slurred_speech vomiting fatigue anxiety,Hypoglycemia
knee_pain joint_pain neck_pain swelling_joints painful_walking hip_joint_pain,Osteoarthristis
muscle_weakness movement_stiffness stiff_neck swelling_joints painful_walking,Arthritis
nausea headache unsteadiness spinning_movements loss_of_balance vomiting,(vertigo) Paroymsal  Positional Vertigo
skin_rash pus_filled_pimples blackheads scurring,Acne
bladder_discomfort continuous_feel_of_urine foul_smell_of urine burning_micturition,Urinary tract infection
silver_like_dusting joint_pain small_dents_in_nails skin_rash inflammatory_nails skin_peeling,Psoriasis
red_sore_around_nose high_fever yellow_crust_ooze skin_rash blister,Impetigo
